Partlist						
						
Exported	from	DFT_v4.sch		4/18/2015	10:32:27	PM
						
						
						
						
						
Part	Value	Device	Package	Library	Sheet	
						
U$11	LT1990	LT1990	LT1990	Sam_Request	1	
U$12	LT1990	LT1990	LT1990	Sam_Request	1	
U$13	LT1990	LT1990	LT1990	Sam_Request	1	
U$14	LT1990	LT1990	LT1990	Sam_Request	1	
U$15	LT1990	LT1990	LT1990	Sam_Request	1	
U$16	LT1990	LT1990	LT1990	Sam_Request	1	
U$17	LT1990	LT1990	LT1990	Sam_Request	1	
U$18	LM4128CMF-2.0/NOPB	LM4128-2.5VREF	SOT23-5	SparkFun-PowerIC	1	
U1	ACS712	ACS712	SO-8	FSAE	1	
U2	SN74LV4051ADR	SN74LV4051ADR	SO-16	FSAE	1	
U3	IFX27001TF	V50	V_REG_317DPACK	V-REG_DPACK	1	
U4	SN75HVD08DR	SN75HVD08DR	SO-8	FSAE	1	
U8	PIC18F45K22	PIC18F45K22	TQFP-44	FSAE	1	
