					
					
					
					
					
					
Part	Value	Device	Package	Library	Sheet
R12	120	RESISTOR0805-RES	805	SparkFun-Passives	2
R13	24k	R-US_R0805	R0805	adafruit	1
R14	91k	R-US_R0805	R0805	adafruit	1
R15	1.21k	R-US_R0805	R0805	adafruit	1
R16	523	RESISTOR0805-RES	805	SparkFun-Passives	2
R17	523	RESISTOR0805-RES	805	SparkFun-Passives	2
R18	1k	R-US_R0805	R0805	adafruit	3
R19	1k	R-US_R0805	R0805	adafruit	3
R20	1k	R-US_R0805	R0805	adafruit	4
R21	1k	R-US_R0805	R0805	adafruit	3
R22	1k	R-US_R0805	R0805	adafruit	4
R23	120	RESISTOR0805-RES	805	SparkFun-Passives	2
R24	8.43k	R-US_R0805	R0805	adafruit	1
R25	1.21k	R-US_R0805	R0805	adafruit	1
R26	dnp	R-US_R0805	R0805	adafruit	1
R27	1k	R-US_R0805	R0805	adafruit	4
R28	1k	R-US_R0805	R0805	adafruit	4
R29	10k	RESISTOR0805-RES	805	SparkFun-Passives	3
R30	10k	RESISTOR0805-RES	805	SparkFun-Passives	3
R31	10k	RESISTOR0805-RES	805	SparkFun-Passives	3
R32	1k	RESISTOR0805-RES	805	SparkFun-Passives	3
R33	1k	RESISTOR0805-RES	805	SparkFun-Passives	3
R34	1k	RESISTOR0805-RES	805	SparkFun-Passives	3
R35	10k	RESISTOR0805-RES	805	SparkFun-Passives	3
R36	10k	RESISTOR0805-RES	805	SparkFun-Passives	3
R37	1k	RESISTOR0805-RES	805	SparkFun-Passives	3
R38	1k	RESISTOR0805-RES	805	SparkFun-Passives	3
R39	8.43k	R-US_R0805	R0805	adafruit	1
R40	dnp	R-US_R0805	R0805	adafruit	1
R41	1k	R-US_R0805	R0805	adafruit	4
R42	1k	R-US_R0805	R0805	adafruit	4
R43	1k	R-US_R0805	R0805	adafruit	3
R44	0	RESISTOR0805-RES	805	SparkFun-Passives	2
R45	0	RESISTOR0805-RES	805	SparkFun-Passives	2
R46	1k	R-US_R0805	R0805	adafruit	4
R47	1k	R-US_R0805	R0805	adafruit	4
R48	523	RESISTOR0805-RES	805	SparkFun-Passives	2
R49	523	RESISTOR0805-RES	805	SparkFun-Passives	2
R50	120	RESISTOR0805-RES	805	SparkFun-Passives	2
R51	523	RESISTOR0805-RES	805	SparkFun-Passives	2
R52	100k	R-US_R0805	R0805	adafruit	4
R53	1k	R-US_R0805	R0805	adafruit	4
R54	100k	R-US_R0805	R0805	adafruit	4
R55	1k	R-US_R0805	R0805	adafruit	4
R57	1k	R-US_R0805	R0805	adafruit	4
R58	1k	R-US_R0805	R0805	adafruit	4
R59	1k	R-US_R0805	R0805	adafruit	4
R60	1k	R-US_R0805	R0805	adafruit	4
RPU13	22k	RESISTOR0805-RES	805	SparkFun	2
RPU14	10k	RESISTOR0805-RES	805	SparkFun	2
RPU15	2.2k	RESISTOR0805-RES	805	SparkFun	2
					
U$1	CARD-SLOT	CARD-SLOT	CS64	FSAE	2
U$2	LM2931	LM2931	SO08	SparkFun-PowerIC	1
U$4	CARD-SLOT	CARD-SLOT	CS64	FSAE	2
U$5	CARD-SLOT	CARD-SLOT	CS64	FSAE	2
U$6	CARD-SLOT	CARD-SLOT	CS64	FSAE	2
U1	PIC18F45K22	PIC18F45K22	TQFP-44	FSAE	4
U2	SN75HVD08DR	SN75HVD08DR	SO-8	FSAE	4
U3	ACS712	ACS712	SO-8	FSAE	1
U5	VND7040AJTR-E	VND7040AJTR-E	SO-16-POWER	FSAE	4
U6	VND7040AJTR-E	VND7040AJTR-E	SO-16-POWER	FSAE	3
U7	FAN3278TMX	FAN3278TMX	SO-8	FSAE	2
U8	VND7040AJTR-E	VND7040AJTR-E	SO-16-POWER	FSAE	4
U9	APXW005A0X43-SRZ	APXW005A0X43-SRZ	APXW005A0X43-SRZ	NASA_LIB	1
U10	VND7040AJTR-E	VND7040AJTR-E	SO-16-POWER	FSAE	4
U11	ACS712	ACS712	SO-8	FSAE	1
U12	APXW005A0X43-SRZ	APXW005A0X43-SRZ	APXW005A0X43-SRZ	NASA_LIB	1
U13	74LS595D	74LS595D	SO16	SparkFun-DigitalIC	4
U14	74LS595D	74LS595D	SO16	SparkFun-DigitalIC	4
U15	74LS595D	74LS595D	SO16	SparkFun-DigitalIC	4
V1	30V	VARISTOR-0603	0603-RES	SparkFun	1
VIN	Green	LEDCHIP-LED0805	CHIP-LED0805	adafruit	1
X1	5566-4	5566-4	5566-4	con-molex	1
X2	5566-4	5566-4	5566-4	con-molex	1
